trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
612,10:40:00,10:40:00,70042,4,,0,0,14613.27361600,1
612,10:43:00,10:43:00,70052,5,,0,0,17657.01202032,1
612,10:46:00,10:46:00,70062,6,,0,0,21733.69455401,1
612,10:49:00,10:49:00,70072,7,,0,0,24282.86652629,1
612,10:51:00,10:51:00,70082,8,,0,0,26043.38507674,1
612,10:54:00,10:54:00,70092,9,,0,0,28350.06083383,1
612,10:56:00,10:56:00,70102,10,,0,0,30499.05295888,1
612,10:59:00,10:59:00,70112,11,,0,0,31865.93060020,1
612,11:02:00,11:02:00,70122,12,,0,0,35199.25076625,1
612,11:04:00,11:04:00,70132,13,,0,0,37194.42283627,1
612,11:08:00,11:08:00,70142,14,,0,0,40687.04095794,1
612,11:12:00,11:12:00,70162,15,,0,0,46287.60767013,1
612,11:16:00,11:16:00,70172,16,,0,0,48298.98998482,1
612,11:19:00,11:19:00,70192,17,,0,0,50847.25988960,1
612,11:22:00,11:22:00,70202,18,,0,0,54786.94500055,1
612,11:25:00,11:25:00,70212,19,,0,0,57895.35927592,1
612,11:29:00,11:29:00,70222,20,,0,0,62207.87669606,1
612,11:33:00,11:33:00,70232,21,,0,0,65397.82046951,1
612,11:37:00,11:37:00,70242,22,,0,0,71287.50060100,1
612,11:44:00,11:44:00,70262,23,,0,0,75448.72622223,1
614,10:55:00,10:55:00,70012,1,,0,0,0.00000000,1
614,11:00:00,11:00:00,70022,2,,0,0,2521.94934933,1
614,11:04:00,11:04:00,70032,3,,0,0,7940.93034485,1
614,11:10:00,11:10:00,70042,4,,0,0,14613.27361600,1
614,11:13:00,11:13:00,70052,5,,0,0,17657.01202032,1
614,11:16:00,11:16:00,70062,6,,0,0,21733.69455401,1
614,11:19:00,11:19:00,70072,7,,0,0,24282.86652629,1
614,11:21:00,11:21:00,70082,8,,0,0,26043.38507674,1
614,11:24:00,11:24:00,70092,9,,0,0,28350.06083383,1
614,11:26:00,11:26:00,70102,10,,0,0,30499.05295888,1
614,11:29:00,11:29:00,70112,11,,0,0,31865.93060020,1
614,11:32:00,11:32:00,70122,12,,0,0,35199.25076625,1
614,11:34:00,11:34:00,70132,13,,0,0,37194.42283627,1
614,11:38:00,11:38:00,70142,14,,0,0,40687.04095794,1
614,11:42:00,11:42:00,70162,15,,0,0,46287.60767013,1
614,11:46:00,11:46:00,70172,16,,0,0,48298.98998482,1
614,11:49:00,11:49:00,70192,17,,0,0,50847.25988960,1
614,11:52:00,11:52:00,70202,18,,0,0,54786.94500055,1
614,11:55:00,11:55:00,70212,19,,0,0,57895.35927592,1
614,11:59:00,11:59:00,70222,20,,0,0,62207.87669606,1
614,12:03:00,12:03:00,70232,21,,0,0,65397.82046951,1
614,12:07:00,12:07:00,70242,22,,0,0,71287.50060100,1
614,12:15:00,12:15:00,70262,23,,0,0,75448.72622223,1
616,11:25:00,11:25:00,70012,1,,0,0,0.00000000,1
616,11:30:00,11:30:00,70022,2,,0,0,2521.94934933,1
616,11:34:00,11:34:00,70032,3,,0,0,7940.93034485,1
616,11:40:00,11:40:00,70042,4,,0,0,14613.27361600,1
616,11:43:00,11:43:00,70052,5,,0,0,17657.01202032,1
616,11:46:00,11:46:00,70062,6,,0,0,21733.69455401,1
616,11:49:00,11:49:00,70072,7,,0,0,24282.86652629,1
616,11:51:00,11:51:00,70082,8,,0,0,26043.38507674,1
616,11:54:00,11:54:00,70092,9,,0,0,28350.06083383,1
616,11:56:00,11:56:00,70102,10,,0,0,30499.05295888,1
616,11:59:00,11:59:00,70112,11,,0,0,31865.93060020,1
616,12:02:00,12:02:00,70122,12,,0,0,35199.25076625,1
616,12:04:00,12:04:00,70132,13,,0,0,37194.42283627,1
616,12:08:00,12:08:00,70142,14,,0,0,40687.04095794,1
616,12:12:00,12:12:00,70162,15,,0,0,46287.60767013,1
616,12:16:00,12:16:00,70172,16,,0,0,48298.98998482,1
616,12:19:00,12:19:00,70192,17,,0,0,50847.25988960,1
